date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:52:03	3406/3406	---M--	200	added ('OK')	image/svg+xml	etag:%22474420f-d4e-5bbd1314678f5%22	http://cpsac.com.pe/assets/images/panel.svg	C:/My%20Web%20Sites/copiaSPSAC/cpsac.com.pe/assets/images/panel.svg	(from http://cpsac.com.pe/precios-huanuco.html)
17:52:04	3723/3723	---M--	200	added ('OK')	image/svg+xml	etag:%224744209-e8b-5bbd130edd545%22	http://cpsac.com.pe/assets/images/omnibus-particular-verde.svg	C:/My%20Web%20Sites/copiaSPSAC/cpsac.com.pe/assets/images/omnibus-particular-verde.svg	(from http://cpsac.com.pe/precios-huanuco.html)
17:52:04	2397/2397	---M--	200	added ('OK')	image/svg+xml	etag:%2247441cc-95d-5bbd12e5cb48a%22	http://cpsac.com.pe/assets/images/bus-publico-azul.svg	C:/My%20Web%20Sites/copiaSPSAC/cpsac.com.pe/assets/images/bus-publico-azul.svg	(from http://cpsac.com.pe/precios-huanuco.html)
17:52:04	3748/3748	---M--	200	added ('OK')	image/svg+xml	etag:%2247441d1-ea4-5bbd12e8153a8%22	http://cpsac.com.pe/assets/images/camion-azul.svg	C:/My%20Web%20Sites/copiaSPSAC/cpsac.com.pe/assets/images/camion-azul.svg	(from http://cpsac.com.pe/precios-huanuco.html)
17:52:04	4948/4948	---M--	200	added ('OK')	image/svg+xml	etag:%224744242-1354-5bbd134335a40%22	http://cpsac.com.pe/assets/images/volquete-verde.svg	C:/My%20Web%20Sites/copiaSPSAC/cpsac.com.pe/assets/images/volquete-verde.svg	(from http://cpsac.com.pe/precios-huanuco.html)
17:52:04	5012/5012	---M--	200	added ('OK')	image/svg+xml	etag:%2247441d8-1394-5bbd131795c76%22	http://cpsac.com.pe/assets/images/cisterna-azul.svg	C:/My%20Web%20Sites/copiaSPSAC/cpsac.com.pe/assets/images/cisterna-azul.svg	(from http://cpsac.com.pe/precios-huanuco.html)
17:52:05	3689/3689	---M--	200	added ('OK')	image/svg+xml	etag:%2247441d6-e69-5bbd12eabf5da%22	http://cpsac.com.pe/assets/images/carreta.svg	C:/My%20Web%20Sites/copiaSPSAC/cpsac.com.pe/assets/images/carreta.svg	(from http://cpsac.com.pe/precios-huanuco.html)
17:52:26	217973/217973	---M--	200	added ('OK')	image/jpeg	etag:%22474422e-35375-5bbd13390a565%22	http://cpsac.com.pe/assets/images/star.jpg	C:/My%20Web%20Sites/copiaSPSAC/cpsac.com.pe/assets/images/star.jpg	(from http://cpsac.com.pe/talleres.html)
17:52:28	255477/255477	---M--	200	added ('OK')	image/jpeg	etag:%224744208-3e5f5-5bbd130e7da00%22	http://cpsac.com.pe/assets/images/morilla.jpg	C:/My%20Web%20Sites/copiaSPSAC/cpsac.com.pe/assets/images/morilla.jpg	(from http://cpsac.com.pe/talleres.html)
17:52:56	316981/316981	---M--	200	added ('OK')	image/jpeg	etag:%2247441df-4d635-5bbd12f095c4e%22	http://cpsac.com.pe/assets/images/cronograma-mobile.jpg	C:/My%20Web%20Sites/copiaSPSAC/cpsac.com.pe/assets/images/cronograma-mobile.jpg	(from http://cpsac.com.pe/cronograma.html)
17:52:58	199001/199001	---M--	200	added ('OK')	image/jpeg	etag:%224744215-30959-5bbd131e52e5d%22	http://cpsac.com.pe/assets/images/postula-1.jpg	C:/My%20Web%20Sites/copiaSPSAC/cpsac.com.pe/assets/images/postula-1.jpg	(from http://cpsac.com.pe/postula.html)
17:53:05	225130/225130	---M--	200	added ('OK')	image/jpeg	etag:%224744216-36f6a-5bbd132054d1f%22	http://cpsac.com.pe/assets/images/postula-2.jpg	C:/My%20Web%20Sites/copiaSPSAC/cpsac.com.pe/assets/images/postula-2.jpg	(from http://cpsac.com.pe/postula.html)
17:53:34	237804/237804	---M--	200	added ('OK')	image/jpeg	etag:%224744217-3a0ec-5bbd131fcfc30%22	http://cpsac.com.pe/assets/images/postula-3.jpg	C:/My%20Web%20Sites/copiaSPSAC/cpsac.com.pe/assets/images/postula-3.jpg	(from http://cpsac.com.pe/postula.html)
17:53:35	227265/227265	---M--	200	added ('OK')	image/jpeg	etag:%224744218-377c1-5bbd132108058%22	http://cpsac.com.pe/assets/images/postula-4.jpg	C:/My%20Web%20Sites/copiaSPSAC/cpsac.com.pe/assets/images/postula-4.jpg	(from http://cpsac.com.pe/postula.html)
17:53:44	345242/345242	---M--	200	added ('OK')	image/jpeg	etag:%22474423b-5449a-5bbd133c48e9f%22	http://cpsac.com.pe/assets/images/vertical.jpg	C:/My%20Web%20Sites/copiaSPSAC/cpsac.com.pe/assets/images/vertical.jpg	(from http://cpsac.com.pe/postula.html)
17:53:44	491866/491866	UR-M--	200	added ('Partial%20Content')	image/jpeg	etag:%22474422d-7815a-5bbd1338ae8a1%22	http://cpsac.com.pe/assets/images/slide7.jpg	C:/My%20Web%20Sites/copiaSPSAC/cpsac.com.pe/assets/images/slide7.jpg	(from http://cpsac.com.pe/style.css)
17:53:49	358949/358949	UR-M--	200	added ('Partial%20Content')	image/jpeg	etag:%2247441e9-57a25-5bbd12fbe83e0%22	http://cpsac.com.pe/assets/images/fondo-interno.jpg	C:/My%20Web%20Sites/copiaSPSAC/cpsac.com.pe/assets/images/fondo-interno.jpg	(from http://cpsac.com.pe/style.css)
17:53:51	501906/501906	UR-M--	200	added ('Partial%20Content')	image/jpeg	etag:%2247441e6-7a892-5bbd12fa3f303%22	http://cpsac.com.pe/assets/images/fachada-cpsac.jpg	C:/My%20Web%20Sites/copiaSPSAC/cpsac.com.pe/assets/images/fachada-cpsac.jpg	(from http://cpsac.com.pe/nosotros.html)
17:53:56	628694/628694	UR-M--	200	added ('Partial%20Content')	image/jpeg	etag:%22474423f-997d6-5bbd1342af9b1%22	http://cpsac.com.pe/assets/images/vision.jpg	C:/My%20Web%20Sites/copiaSPSAC/cpsac.com.pe/assets/images/vision.jpg	(from http://cpsac.com.pe/nosotros.html)
17:53:59	393282/393282	UR-M--	200	added ('Partial%20Content')	image/jpeg	etag:%2247441e0-60042-5bbd12f2d016a%22	http://cpsac.com.pe/assets/images/cronograma.jpg	C:/My%20Web%20Sites/copiaSPSAC/cpsac.com.pe/assets/images/cronograma.jpg	(from http://cpsac.com.pe/cronograma.html)
17:54:03	323224/323224	UR-M--	200	added ('Partial%20Content')	image/jpeg	etag:%22474423a-4ee98-5bbd133c04cc4%22	http://cpsac.com.pe/assets/images/vertical-2.jpg	C:/My%20Web%20Sites/copiaSPSAC/cpsac.com.pe/assets/images/vertical-2.jpg	(from http://cpsac.com.pe/postula.html)
